Pref,Pref.name,Age,DiagnoseYear,Sex,Population,CaseCount.TB,CaseCount.STBBI
5101,Chengdu,"[45,48)",2013,0,428876,83,130
5101,Chengdu,"[45,48)",2013,1,476130,203,268
5101,Chengdu,"[45,48)",2014,0,453971,85,149
5101,Chengdu,"[45,48)",2014,1,503034,192,340
5101,Chengdu,"[45,48)",2015,0,495755,83,206
5101,Chengdu,"[45,48)",2015,1,549228,215,398
5101,Chengdu,"[45,48)",2016,0,513232,82,245
5101,Chengdu,"[45,48)",2016,1,564385,242,489
5101,Chengdu,"[45,48)",2017,0,509502,91,289
5101,Chengdu,"[45,48)",2017,1,556541,218,558
5101,Chengdu,"[45,48)",2018,0,500736,65,332
5101,Chengdu,"[45,48)",2018,1,540232,169,602
5101,Chengdu,"[48,51)",2005,0,261888,123,55
5101,Chengdu,"[48,51)",2005,1,273514,297,161
5101,Chengdu,"[48,51)",2006,0,249156,95,41
5101,Chengdu,"[48,51)",2006,1,266830,293,124
5101,Chengdu,"[48,51)",2007,0,219202,74,44
5101,Chengdu,"[48,51)",2007,1,240862,239,143
5101,Chengdu,"[48,51)",2008,0,183304,49,33
5101,Chengdu,"[48,51)",2008,1,205801,201,81
5101,Chengdu,"[48,51)",2009,0,153477,45,40
5101,Chengdu,"[48,51)",2009,1,173429,117,94
5101,Chengdu,"[48,51)",2010,0,183664,35,72
5101,Chengdu,"[48,51)",2010,1,207648,146,146
5101,Chengdu,"[48,51)",2011,0,293863,60,116
5101,Chengdu,"[48,51)",2011,1,329138,186,237
5101,Chengdu,"[48,51)",2012,0,376478,71,145
5101,Chengdu,"[48,51)",2012,1,419919,288,290
5101,Chengdu,"[48,51)",2013,0,434356,85,166
5101,Chengdu,"[48,51)",2013,1,483287,283,336
5101,Chengdu,"[48,51)",2014,0,416062,58,162
5101,Chengdu,"[48,51)",2014,1,462156,208,353
5101,Chengdu,"[48,51)",2015,0,412423,75,205
5101,Chengdu,"[48,51)",2015,1,456825,198,348
5101,Chengdu,"[48,51)",2016,0,430389,75,246
5101,Chengdu,"[48,51)",2016,1,476358,197,460
5101,Chengdu,"[48,51)",2017,0,455394,77,303
5101,Chengdu,"[48,51)",2017,1,503107,232,503
5101,Chengdu,"[48,51)",2018,0,497452,74,376
5101,Chengdu,"[48,51)",2018,1,549478,231,577
5101,Chengdu,"[51,54)",2005,0,281164,128,53
5101,Chengdu,"[51,54)",2005,1,277534,271,98
5101,Chengdu,"[51,54)",2006,0,281489,128,43
5101,Chengdu,"[51,54)",2006,1,283298,302,101
5101,Chengdu,"[51,54)",2007,0,272835,110,54
5101,Chengdu,"[51,54)",2007,1,280330,288,111
5101,Chengdu,"[51,54)",2008,0,269758,89,55
5101,Chengdu,"[51,54)",2008,1,282619,252,99
5101,Chengdu,"[51,54)",2009,0,257839,73,74
5101,Chengdu,"[51,54)",2009,1,276864,238,149
5101,Chengdu,"[51,54)",2010,0,227868,43,85
5101,Chengdu,"[51,54)",2010,1,250822,162,152
5101,Chengdu,"[51,54)",2011,0,191026,24,71
5101,Chengdu,"[51,54)",2011,1,214596,133,143
5101,Chengdu,"[51,54)",2012,0,159568,32,62
5101,Chengdu,"[51,54)",2012,1,180254,109,115
5101,Chengdu,"[51,54)",2013,0,187653,29,69
5101,Chengdu,"[51,54)",2013,1,211636,143,129
5101,Chengdu,"[51,54)",2014,0,295781,56,117
5101,Chengdu,"[51,54)",2014,1,329959,167,196
5101,Chengdu,"[51,54)",2015,0,376912,69,180
5101,Chengdu,"[51,54)",2015,1,418339,237,352
5101,Chengdu,"[51,54)",2016,0,434023,72,331
5101,Chengdu,"[51,54)",2016,1,480355,235,532
5101,Chengdu,"[51,54)",2017,0,415840,69,355
5101,Chengdu,"[51,54)",2017,1,459505,239,607
5101,Chengdu,"[51,54)",2018,0,412422,64,408
5101,Chengdu,"[51,54)",2018,1,454442,209,592
5101,Chengdu,"[54,57)",2005,0,225035,102,48
5101,Chengdu,"[54,57)",2005,1,222333,244,72
5101,Chengdu,"[54,57)",2006,0,244328,110,33
5101,Chengdu,"[54,57)",2006,1,237840,277,74
5101,Chengdu,"[54,57)",2007,0,269974,98,66
5101,Chengdu,"[54,57)",2007,1,262722,303,72
5101,Chengdu,"[54,57)",2008,0,285257,115,42
5101,Chengdu,"[54,57)",2008,1,281341,329,90
5101,Chengdu,"[54,57)",2009,0,285968,86,63
5101,Chengdu,"[54,57)",2009,1,287387,285,124
5101,Chengdu,"[54,57)",2010,0,277181,65,95
5101,Chengdu,"[54,57)",2010,1,284096,224,156
5101,Chengdu,"[54,57)",2011,0,273322,51,122
5101,Chengdu,"[54,57)",2011,1,285246,219,205
5101,Chengdu,"[54,57)",2012,0,260302,66,105
5101,Chengdu,"[54,57)",2012,1,278013,211,163
5101,Chengdu,"[54,57)",2013,0,229269,56,105
5101,Chengdu,"[54,57)",2013,1,250703,164,173
5101,Chengdu,"[54,57)",2014,0,191668,39,83
5101,Chengdu,"[54,57)",2014,1,213719,129,161
5101,Chengdu,"[54,57)",2015,0,159745,22,81
5101,Chengdu,"[54,57)",2015,1,179035,119,151
5101,Chengdu,"[54,57)",2016,0,187311,28,115
5101,Chengdu,"[54,57)",2016,1,209517,132,207
5101,Chengdu,"[54,57)",2017,0,294727,68,190
